UF,Sexo,Idade,Cor,Anos de Estudo,Renda,Altura
Rondônia,Masculino,23,Parda,11 anos,800,1.6
Rondônia,Feminino,23,Branca,11 anos,1150,1.74
Rondônia,Feminino,35,Parda,14 anos,880,1.76
Rondônia,Masculino,46,Branca,5 anos,3500,1.78
Rondônia,Feminino,47,Parda,8 anos,150,1.69
Rondônia,Feminino,34,Parda,11 anos,790,1.64
Rondônia,Masculino,57,Parda,11 anos,3150,1.57
Rondônia,Feminino,60,Parda,11 anos,1700,1.61
Rondônia,Feminino,50,Preta,13 anos,1800,1.78
Rondônia,Masculino,26,Parda,11 anos,1150,1.79
Rondônia,Feminino,46,Parda,11 anos,3000,1.79
Rondônia,Feminino,49,Parda,5 anos,2500,1.71
Rondônia,Feminino,52,Branca,5 anos,1200,1.74
Rondônia,Masculino,38,Parda,11 anos,2000,1.75
Rondônia,Masculino,45,Branca,11 anos,2000,1.78
Rondônia,Masculino,34,Branca,15 anos ou mais,6000,1.71
Rondônia,Feminino,43,Parda,9 anos,1050,1.79
Rondônia,Masculino,53,Parda,15 anos ou mais,7000,1.67
Rondônia,Masculino,57,Branca,11 anos,2000,1.72
Rondônia,Feminino,62,Parda,11 anos,1150,1.77
Rondônia,Masculino,69,Parda,Sem instrução e menos de 1 ano,3030,1.75
Rondônia,Feminino,41,Parda,15 anos ou mais,4000,1.66
Rondônia,Masculino,34,Parda,4 anos,788,1.75
Rondônia,Masculino,25,Parda,11 anos,1000,1.73
Rondônia,Masculino,33,Parda,8 anos,800,1.78
Rondônia,Feminino,44,Parda,4 anos,788,1.67
Rondônia,Masculino,33,Branca,15 anos ou mais,1600,1.78
Rondônia,Masculino,65,Branca,11 anos,1700,1.87
Rondônia,Masculino,33,Parda,13 anos,2000,1.89
Rondônia,Masculino,32,Parda,11 anos,2400,1.66
Rondônia,Masculino,43,Parda,4 anos,3000,1.64
Rondônia,Masculino,30,Parda,Sem instrução e menos de 1 ano,920,1.69
Rondônia,Masculino,26,Branca,9 anos,1300,1.68
Rondônia,Masculino,52,Branca,14 anos,2000,1.67
Rondônia,Masculino,62,Parda,Sem instrução e menos de 1 ano,1300,1.63
Rondônia,Masculino,64,Amarela,4 anos,600,1.71
Rondônia,Masculino,31,Parda,6 anos,1200,1.76
Rondônia,Masculino,63,Branca,2 anos,1000,1.69
Rondônia,Feminino,40,Branca,8 anos,1000,1.71
Rondônia,Masculino,47,Preta,8 anos,1500,1.67
Rondônia,Masculino,34,Branca,6 anos,900,1.65
Rondônia,Masculino,33,Parda,5 anos,900,1.81
Rondônia,Masculino,63,Parda,5 anos,0,1.65
Rondônia,Feminino,40,Parda,1 ano,300,1.76
Rondônia,Masculino,41,Parda,5 anos,1600,1.61
Rondônia,Masculino,28,Branca,9 anos,1500,1.69
Rondônia,Feminino,32,Parda,11 anos,750,1.68
Rondônia,Masculino,44,Branca,Sem instrução e menos de 1 ano,800,1.7
Rondônia,Feminino,38,Branca,11 anos,3600,1.6
Rondônia,Masculino,41,Branca,3 anos,1500,1.65
Rondônia,Masculino,62,Parda,7 anos,3000,1.75
Rondônia,Masculino,37,Parda,6 anos,2300,1.58
Rondônia,Masculino,41,Branca,11 anos,1500,1.7
Rondônia,Masculino,41,Parda,11 anos,4500,1.57
Rondônia,Feminino,46,Branca,15 anos ou mais,4800,1.73
Rondônia,Feminino,46,Parda,11 anos,900,1.66
Rondônia,Feminino,45,Branca,6 anos,400,1.45
Rondônia,Masculino,60,Parda,1 ano,1050,1.75
Rondônia,Feminino,38,Parda,6 anos,850,1.6
Rondônia,Feminino,32,Parda,11 anos,650,1.62
Rondônia,Feminino,39,Parda,5 anos,300,1.52
Rondônia,Feminino,49,Parda,4 anos,900,1.68
Rondônia,Feminino,34,Branca,10 anos,1000,1.77
Rondônia,Feminino,38,Parda,7 anos,970,1.8
Rondônia,Feminino,36,Preta,11 anos,1000,1.7
Rondônia,Feminino,45,Branca,6 anos,600,1.67
Rondônia,Masculino,49,Preta,9 anos,1000,1.81
Rondônia,Feminino,44,Preta,9 anos,800,1.74
Rondônia,Masculino,73,Parda,Sem instrução e menos de 1 ano,0,1.8
Rondônia,Masculino,56,Branca,5 anos,200,1.49
Rondônia,Masculino,33,Parda,3 anos,1400,1.67
Rondônia,Masculino,27,Branca,11 anos,2500,1.83
Rondônia,Masculino,49,Branca,3 anos,3000,1.77
Rondônia,Masculino,57,Parda,1 ano,1100,1.71
Rondônia,Masculino,41,Parda,Não determinados,2000,1.71
Rondônia,Masculino,39,Branca,10 anos,1400,1.83
Rondônia,Masculino,23,Parda,4 anos,788,1.71
Rondônia,Masculino,39,Parda,8 anos,1400,1.79
Rondônia,Masculino,35,Preta,3 anos,1000,1.65
Rondônia,Masculino,30,Parda,3 anos,600,1.75
Rondônia,Masculino,35,Parda,3 anos,788,1.77
Rondônia,Masculino,36,Branca,3 anos,500,1.72
Rondônia,Masculino,37,Parda,3 anos,1500,1.71
Rondônia,Masculino,60,Preta,Sem instrução e menos de 1 ano,1400,1.65
Rondônia,Masculino,38,Branca,8 anos,600,1.73
Rondônia,Masculino,43,Branca,8 anos,800,1.77
Rondônia,Masculino,42,Branca,8 anos,1200,1.74
Rondônia,Masculino,51,Branca,8 anos,2500,1.77
Rondônia,Feminino,33,Parda,11 anos,1200,1.76
Rondônia,Masculino,46,Branca,Sem instrução e menos de 1 ano,2000,1.71
Rondônia,Feminino,29,Preta,14 anos,1300,1.75
Rondônia,Masculino,40,Parda,8 anos,800,1.59
Rondônia,Feminino,46,Parda,Sem instrução e menos de 1 ano,550,1.59
Rondônia,Masculino,25,Branca,5 anos,975,1.86
Rondônia,Masculino,32,Parda,4 anos,1500,1.79
Rondônia,Masculino,40,Branca,11 anos,1200,1.67
Rondônia,Masculino,26,Preta,8 anos,1145,1.72
Rondônia,Feminino,49,Parda,Sem instrução e menos de 1 ano,1200,1.63
Rondônia,Masculino,37,Parda,8 anos,1500,1.7
Rondônia,Masculino,24,Preta,11 anos,1200,1.54
Rondônia,Feminino,40,Parda,8 anos,850,1.78
Rondônia,Masculino,39,Parda,9 anos,1200,1.68
Rondônia,Masculino,39,Parda,10 anos,900,1.77
Rondônia,Masculino,41,Parda,1 ano,1200,1.67
Rondônia,Masculino,36,Parda,8 anos,2500,1.66
Rondônia,Feminino,37,Parda,10 anos,400,1.72
Rondônia,Masculino,28,Preta,11 anos,1100,1.73
Rondônia,Masculino,32,Branca,11 anos,1200,1.65
Rondônia,Masculino,24,Preta,11 anos,2500,1.62
Rondônia,Masculino,39,Branca,13 anos,4000,1.51
Rondônia,Masculino,33,Branca,15 anos ou mais,2500,1.62
Rondônia,Feminino,49,Parda,5 anos,788,1.7
Rondônia,Masculino,37,Branca,11 anos,2000,1.57
Rondônia,Masculino,35,Preta,11 anos,788,1.57
Rondônia,Feminino,55,Parda,8 anos,380,1.89
Rondônia,Masculino,24,Parda,11 anos,836,1.67
Rondônia,Masculino,34,Parda,14 anos,1250,1.71
Rondônia,Masculino,27,Branca,11 anos,1325,1.61
Rondônia,Masculino,50,Branca,7 anos,1550,1.79
Rondônia,Masculino,53,Amarela,7 anos,1800,1.61
Rondônia,Masculino,67,Preta,Sem instrução e menos de 1 ano,1500,1.76
Rondônia,Masculino,52,Branca,11 anos,20000,1.64
Rondônia,Masculino,42,Parda,4 anos,3000,1.74
Rondônia,Feminino,66,Branca,Sem instrução e menos de 1 ano,1600,1.83
Rondônia,Masculino,47,Branca,3 anos,788,1.74
Rondônia,Masculino,60,Parda,8 anos,1400,1.72
Rondônia,Masculino,29,Branca,10 anos,580,1.68
Rondônia,Masculino,55,Branca,4 anos,1500,1.73
Rondônia,Masculino,55,Branca,4 anos,1000,1.77
Rondônia,Masculino,56,Branca,4 anos,100,1.73
Rondônia,Masculino,69,Branca,8 anos,0,1.61
Rondônia,Masculino,51,Branca,3 anos,1000,1.62
Rondônia,Feminino,25,Parda,11 anos,390,1.63
Rondônia,Masculino,49,Parda,2 anos,788,1.73
Rondônia,Masculino,61,Preta,3 anos,1800,1.54
